accessions	gene_id	gene	gene_description	alt_gene_description	all_GO_ids	BP_GO_ids	CC_GO_ids	MF_GO_ids
O42196	399123	dnajc5	DnaJ homolog subfamily C member 5	Xcsp	GO:0031225;GO:0042584;GO:0005829;GO:0042470;GO:0005886		GO:0031225;GO:0042584;GO:0005829;GO:0042470;GO:0005886	
P46871	373530	KRP95	Kinesin-II 95 kDa subunit	KRP-85/95 95 kDa subunit	GO:0005737;GO:0005871;GO:0005874;GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0007018	GO:0007018	GO:0005737;GO:0005871;GO:0005874	GO:0005524;GO:0016887;GO:0008017;GO:0003777
O15066;B2RMP4;B4DSR5;E1P5M5	9371	KIF3B	Kinesin-like protein KIF3B N-terminally processed	Microtubule plus end-directed kinesin motor 3B	GO:1904115;GO:0005813;GO:0097542;GO:0005929;GO:0005829;GO:0030425;GO:0032839;GO:0043197;GO:0070062;GO:0005871;GO:0016939;GO:0016020;GO:0005874;GO:0015630;GO:0030496;GO:0005873;GO:0005819;GO:0005524;GO:0016887;GO:0120170;GO:0008017;GO:0003777;GO:0008574;GO:0031267;GO:0008089;GO:0098971;GO:0060271;GO:0007368;GO:0042073;GO:0007018;GO:0007100;GO:0090307;GO:0007052;GO:0036372;GO:0072383;GO:0032467;GO:0016192	GO:0008089;GO:0098971;GO:0060271;GO:0007368;GO:0042073;GO:0007018;GO:0007100;GO:0090307;GO:0007052;GO:0036372;GO:0072383;GO:0032467;GO:0016192	GO:1904115;GO:0005813;GO:0097542;GO:0005929;GO:0005829;GO:0030425;GO:0032839;GO:0043197;GO:0070062;GO:0005871;GO:0016939;GO:0016020;GO:0005874;GO:0015630;GO:0030496;GO:0005873;GO:0005819	GO:0005524;GO:0016887;GO:0120170;GO:0008017;GO:0003777;GO:0008574;GO:0031267
Q8WV41;B1NM17	257364	SNX33	Sorting nexin-33	SH3 and PX domain-containing protein 3	GO:0031410;GO:0030659;GO:0005829;GO:0019898;GO:0016020;GO:0042802;GO:0035091;GO:0036089;GO:0006897;GO:0016197;GO:0007032;GO:0006886;GO:0044351;GO:0000281;GO:0045806;GO:2000009;GO:0097320;GO:0051044;GO:2000010;GO:0017038	GO:0036089;GO:0006897;GO:0016197;GO:0007032;GO:0006886;GO:0044351;GO:0000281;GO:0045806;GO:2000009;GO:0097320;GO:0051044;GO:2000010;GO:0017038	GO:0031410;GO:0030659;GO:0005829;GO:0019898;GO:0016020	GO:0042802;GO:0035091
Q2MV58;A8MX11;Q49A60;Q6P5X1;Q6UXW2;Q8NAE9;Q96N72;Q9H798	79600	TCTN1	Tectonic-1	SH3 and PX domain-containing protein 3	GO:0005856;GO:0005829;GO:0005615;GO:0016020;GO:0036038;GO:0021956;GO:0060271;GO:0021904;GO:0001701;GO:0001841;GO:1904491;GO:0008589;GO:0021523;GO:0021537	GO:0021956;GO:0060271;GO:0021904;GO:0001701;GO:0001841;GO:1904491;GO:0008589;GO:0021523;GO:0021537	GO:0005856;GO:0005829;GO:0005615;GO:0016020;GO:0036038	
Q5ZMW3	423168	API5	Apoptosis inhibitor 5	SH3 and PX domain-containing protein 3	GO:0005737;GO:0005634;GO:0017134;GO:0003723;GO:0006915;GO:0043066	GO:0006915;GO:0043066	GO:0005737;GO:0005634	GO:0017134;GO:0003723
Q2KII7	510447	PEX16	Peroxisomal membrane protein PEX16	Peroxisomal biogenesis factor 16	GO:0005789;GO:0005779;GO:0005778;GO:0005777;GO:0008022;GO:0032581;GO:0016557;GO:0007031;GO:0045046;GO:0006625	GO:0032581;GO:0016557;GO:0007031;GO:0045046;GO:0006625	GO:0005789;GO:0005779;GO:0005778;GO:0005777	GO:0008022
O95461;B0QXZ7;O60348;Q17R80;Q9UGD1;Q9UGE7;Q9UGG3;Q9UGZ8;Q9UH22	9215	LARGE1	Beta-13-glucuronyltransferase LARGE1	LARGE xylosyl- and glucuronyltransferase 1	GO:0005794;GO:0000139;GO:0030173;GO:0008375;GO:0015020;GO:0016757;GO:0016758;GO:0030145;GO:0035252;GO:0042285;GO:0009101;GO:0006688;GO:0046716;GO:0006044;GO:0006486;GO:0006493;GO:0035269;GO:0060538;GO:0043403	GO:0009101;GO:0006688;GO:0046716;GO:0006044;GO:0006486;GO:0006493;GO:0035269;GO:0060538;GO:0043403	GO:0005794;GO:0000139;GO:0030173	GO:0008375;GO:0015020;GO:0016757;GO:0016758;GO:0030145;GO:0035252;GO:0042285
O35874	55963	Slc1a4	Neutral amino acid transporter A	Solute carrier family 1 member 4	GO:0005813;GO:0030425;GO:0016021;GO:0005882;GO:0042470;GO:0016020;GO:0043025;GO:0005886;GO:0005254;GO:0015180;GO:0015183;GO:0015184;GO:0034590;GO:0015193;GO:0015194;GO:0015195;GO:0015175;GO:0015293;GO:0050890;GO:0034589;GO:1904273;GO:0015808;GO:0140009;GO:0015813;GO:1903812;GO:0015825;GO:0015824;GO:0098718;GO:0015826	GO:0050890;GO:0034589;GO:1904273;GO:0015808;GO:0140009;GO:0015813;GO:1903812;GO:0015825;GO:0015824;GO:0098718;GO:0015826	GO:0005813;GO:0030425;GO:0016021;GO:0005882;GO:0042470;GO:0016020;GO:0043025;GO:0005886	GO:0005254;GO:0015180;GO:0015183;GO:0015184;GO:0034590;GO:0015193;GO:0015194;GO:0015195;GO:0015175;GO:0015293
P30552;O46376		CCKBR	Gastrin/cholecystokinin type B receptor	Cholecystokinin-2 receptor	GO:0016021;GO:0005886;GO:0004951;GO:0004930;GO:0015054;GO:0017046;GO:0031741;GO:0048565;GO:0007186;GO:0001696;GO:0048732;GO:0045851;GO:0007200;GO:0008284;GO:0007204	GO:0048565;GO:0007186;GO:0001696;GO:0048732;GO:0045851;GO:0007200;GO:0008284;GO:0007204	GO:0016021;GO:0005886	GO:0004951;GO:0004930;GO:0015054;GO:0017046;GO:0031741
Q6P806	394743	samm50	Sorting and assembly machinery component 50 homolog	Cholecystokinin-2 receptor	GO:0016021;GO:0001401;GO:0034622;GO:0042407;GO:0033108;GO:0045040	GO:0034622;GO:0042407;GO:0033108;GO:0045040	GO:0016021;GO:0001401	
Q54F25	8628013	cln3	Battenin	Protein CLN3 homolog	GO:0000331;GO:0030139;GO:0005794;GO:0016021;GO:0005765;GO:0005773;GO:0031152;GO:0015809;GO:0098609;GO:0031589;GO:0009992;GO:0006972;GO:0006971;GO:0000281;GO:0008285;GO:0050709;GO:0006907;GO:0050714;GO:0051453;GO:0050708;GO:0031156	GO:0031152;GO:0015809;GO:0098609;GO:0031589;GO:0009992;GO:0006972;GO:0006971;GO:0000281;GO:0008285;GO:0050709;GO:0006907;GO:0050714;GO:0051453;GO:0050708;GO:0031156	GO:0000331;GO:0030139;GO:0005794;GO:0016021;GO:0005765;GO:0005773	
Q7M3Y3;O44077;Q9TXE2			Troponin I	Protein CLN3 homolog	GO:0005861;GO:0003779;GO:0046872		GO:0005861	GO:0003779;GO:0046872
Q68EK9;A2CES9	445501	cdc26	Anaphase-promoting complex subunit CDC26	Cell division cycle protein 26 homolog	GO:0005680;GO:0031145;GO:0051301;GO:0000278;GO:0070979;GO:0007346;GO:0030071	GO:0031145;GO:0051301;GO:0000278;GO:0070979;GO:0007346;GO:0030071	GO:0005680	
Q6DCC6	447064	gtpbp6	Putative GTP-binding protein 6	Cell division cycle protein 26 homolog	GO:0005525;GO:0046872			GO:0005525;GO:0046872
Q8WVL7;Q8NDF2;Q96JE5;Q9NXK7	54851	ANKRD49	Ankyrin repeat domain-containing protein 49	Fetal globin-inducing factor	GO:0005829;GO:0005634;GO:0030154;GO:0045893;GO:0007283	GO:0030154;GO:0045893;GO:0007283	GO:0005829;GO:0005634	
Q9DGD1	395415	MGAT4C	Alpha-16-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	N-acetylglucosaminyltransferase VI	GO:0000139;GO:0016021;GO:0047253;GO:0046872;GO:0006486	GO:0006486	GO:0000139;GO:0016021	GO:0047253;GO:0046872
Q9CQ02	66199	Commd4	COMM domain-containing protein 4	N-acetylglucosaminyltransferase VI	GO:0005737;GO:0005829;GO:0043231;GO:0005634;GO:0005886		GO:0005737;GO:0005829;GO:0043231;GO:0005634;GO:0005886	
O46640	100009006	SULT3A1	Amine sulfotransferase	Sulfotransferase 3A1	GO:0005737;GO:0047685		GO:0005737	GO:0047685
Q5E9S2	539584	NFYA	Nuclear transcription factor Y subunit alpha	Nuclear transcription factor Y subunit A	GO:0016602;GO:0005654;GO:0005634;GO:0032993;GO:0003677;GO:0000981;GO:0000978;GO:0080182;GO:0045944;GO:0045893;GO:0035065;GO:0006357;GO:0006355;GO:0048511	GO:0080182;GO:0045944;GO:0045893;GO:0035065;GO:0006357;GO:0006355;GO:0048511	GO:0016602;GO:0005654;GO:0005634;GO:0032993	GO:0003677;GO:0000981;GO:0000978
Q9UGK8;Q9UGK9	26297	SERGEF	Secretion-regulating guanine nucleotide exchange factor	Guanine nucleotide exchange factor-related protein	GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0005085;GO:0050709;GO:0007165	GO:0050709;GO:0007165	GO:0005737;GO:0005829;GO:0005654;GO:0005634	GO:0005085
Q7TPV2;Q148V3;Q80TU4;Q8BYK7	224170	Dzip3	E3 ubiquitin-protein ligase DZIP3	RING-type E3 ubiquitin transferase DZIP3	GO:0005737;GO:0046872;GO:0019902;GO:0031593;GO:0003723;GO:0061630;GO:0004842;GO:0000209	GO:0000209	GO:0005737	GO:0046872;GO:0019902;GO:0031593;GO:0003723;GO:0061630;GO:0004842
Q8N414;A0A0A0MS21;A0PJF3;B4DM72;B7Z9K3;B9EK58;Q5SR37;Q6PJN2;U3REJ1	79605	PGBD5	PiggyBac transposable element-derived protein 5	PiggyBac transposase 5	GO:0005654;GO:0005634;GO:0004519;GO:0004803;GO:0098038	GO:0098038	GO:0005654;GO:0005634	GO:0004519;GO:0004803
Q9Y2V3;Q86V11	30062	RAX	Retinal homeobox protein Rx	Retina and anterior neural fold homeobox protein	GO:0000785;GO:0005634;GO:0001228;GO:0000981;GO:0000978;GO:1990837;GO:0043010;GO:0021854;GO:0060173;GO:0007389;GO:0045944;GO:0006357;GO:0007601	GO:0043010;GO:0021854;GO:0060173;GO:0007389;GO:0045944;GO:0006357;GO:0007601	GO:0000785;GO:0005634	GO:0001228;GO:0000981;GO:0000978;GO:1990837
Q3U2S8;Q9DCE4	74096	Hvcn1	Voltage-gated hydrogen channel 1	Voltage sensor domain-only protein	GO:0016324;GO:0016021;GO:0005887;GO:0042802;GO:0022843;GO:0030171;GO:0071467;GO:0071294;GO:0032930;GO:1902600;GO:0051453;GO:0034765;GO:0009268;GO:0010043	GO:0071467;GO:0071294;GO:0032930;GO:1902600;GO:0051453;GO:0034765;GO:0009268;GO:0010043	GO:0016324;GO:0016021;GO:0005887	GO:0042802;GO:0022843;GO:0030171
Q07079	16011	Igfbp5	Insulin-like growth factor-binding protein 5	Voltage sensor domain-only protein	GO:0005615;GO:0016942;GO:0042567;GO:0001968;GO:0005520;GO:0031994;GO:0031995;GO:0007568;GO:0071320;GO:0071407;GO:0007565;GO:0042593;GO:0031069;GO:0035556;GO:0048286;GO:0060056;GO:0030336;GO:0045926;GO:0043569;GO:1901862;GO:0045668;GO:1904205;GO:0014912;GO:0048662;GO:0017148;GO:0001649;GO:0043568;GO:0051897;GO:1904754;GO:1904707;GO:0001558;GO:0040008;GO:0043567;GO:0060416;GO:0051146;GO:0044342	GO:0007568;GO:0071320;GO:0071407;GO:0007565;GO:0042593;GO:0031069;GO:0035556;GO:0048286;GO:0060056;GO:0030336;GO:0045926;GO:0043569;GO:1901862;GO:0045668;GO:1904205;GO:0014912;GO:0048662;GO:0017148;GO:0001649;GO:0043568;GO:0051897;GO:1904754;GO:1904707;GO:0001558;GO:0040008;GO:0043567;GO:0060416;GO:0051146;GO:0044342	GO:0005615;GO:0016942;GO:0042567	GO:0001968;GO:0005520;GO:0031994;GO:0031995
Q9W534;O77270;Q8MRD0	31168	moody	G-protein coupled receptor moody	Voltage sensor domain-only protein	GO:0016021;GO:0005886;GO:0005919;GO:0004930;GO:0008366;GO:0048148;GO:0048149;GO:0035095;GO:0030866;GO:0060857;GO:0007186;GO:0019991;GO:0007419	GO:0008366;GO:0048148;GO:0048149;GO:0035095;GO:0030866;GO:0060857;GO:0007186;GO:0019991;GO:0007419	GO:0016021;GO:0005886;GO:0005919	GO:0004930
Q7SYL3;Q8JHZ9		siah2l	E3 ubiquitin-protein ligase Siah2	Seven in absentia homolog 2-like	GO:0005737;GO:0031624;GO:0061630;GO:0008270;GO:0007049;GO:0043161;GO:0042752;GO:0048511;GO:0006511	GO:0007049;GO:0043161;GO:0042752;GO:0048511;GO:0006511	GO:0005737	GO:0031624;GO:0061630;GO:0008270
Q6DRI7	445387	ddx51	ATP-dependent RNA helicase DDX51	DEAD box protein 51	GO:0005730;GO:0005634;GO:0005524;GO:0016887;GO:0003723;GO:0003724;GO:0006364	GO:0006364	GO:0005730;GO:0005634	GO:0005524;GO:0016887;GO:0003723;GO:0003724
B4F6I5	100216031	ficd	Protein adenylyltransferase FICD	FIC domain-containing protein	GO:0030176;GO:0005524;GO:0051087;GO:0044603;GO:0070733;GO:0042803;GO:0018117;GO:0044602;GO:1903894;GO:0034976;GO:0006986	GO:0018117;GO:0044602;GO:1903894;GO:0034976;GO:0006986	GO:0030176	GO:0005524;GO:0051087;GO:0044603;GO:0070733;GO:0042803
P98169;A8K151;Q9UBB3	158586	ZXDB	Zinc finger X-linked protein ZXDB	FIC domain-containing protein	GO:0005634;GO:0046872;GO:0003712;GO:0006357	GO:0006357	GO:0005634	GO:0046872;GO:0003712
Q4V7T8	734543	ropn1l	Ropporin-1-like protein	FIC domain-containing protein	GO:0031514		GO:0031514	
Q2KIY6	529615	HORMAD1	HORMA domain-containing protein 1	FIC domain-containing protein	GO:0005694;GO:0005634;GO:0000795;GO:0001824;GO:0051321;GO:0042138;GO:0051598;GO:0051177;GO:0048477;GO:0060629;GO:0007283;GO:0007130	GO:0001824;GO:0051321;GO:0042138;GO:0051598;GO:0051177;GO:0048477;GO:0060629;GO:0007283;GO:0007130	GO:0005694;GO:0005634;GO:0000795	
Q642H7	449546	ric8a	Synembryn-A	Protein Ric-8A	GO:0005737;GO:0005886;GO:0001965;GO:0005085;GO:0007186	GO:0007186	GO:0005737;GO:0005886	GO:0001965;GO:0005085
Q8N3X1;Q9H985;Q9NT81;Q9Y2L7	23360	FNBP4	Formin-binding protein 4	Formin-binding protein 30	GO:0016607		GO:0016607	
Q9QY33;Q9EQG4	56434	Tspan3	Tetraspanin-3	Transmembrane 4 superfamily member 8	GO:0005887		GO:0005887	
P48058;Q86XE8	2893	GRIA4	Glutamate receptor 4	Glutamate receptor ionotropic AMPA 4	GO:0032281;GO:0043197;GO:0030666;GO:1903561;GO:0043025;GO:0005886;GO:0045211;GO:0004971;GO:0001540;GO:0004970;GO:0015276;GO:0038023;GO:0007215;GO:0034392	GO:0007215;GO:0034392	GO:0032281;GO:0043197;GO:0030666;GO:1903561;GO:0043025;GO:0005886;GO:0045211	GO:0004971;GO:0001540;GO:0004970;GO:0015276;GO:0038023
Q91755;A0A1L8G3C5		grik2	Glutamate receptor ionotropic kainate 2	Glutamate receptor 6	GO:0016021;GO:0045211;GO:0005234;GO:0004970;GO:0120169	GO:0120169	GO:0016021;GO:0045211	GO:0005234;GO:0004970
P37198;B3KWU5;Q503A4;Q6GTM2;Q96C43;Q9NSL1	23636	NUP62	Nuclear pore glycoprotein p62	Nucleoporin Nup62	GO:0005813;GO:0005737;GO:0090543;GO:0072686;GO:0005635;GO:0005637;GO:0031965;GO:0005640;GO:0005643;GO:0044613;GO:0005654;GO:1990904;GO:0000922;GO:0003682;GO:0030544;GO:0051879;GO:0005543;GO:0051425;GO:0042169;GO:0030159;GO:0017056;GO:0043130;GO:0007569;GO:0008219;GO:0007166;GO:0098534;GO:0007098;GO:0007100;GO:0007080;GO:0051028;GO:0043066;GO:0008285;GO:0042059;GO:0043407;GO:0043069;GO:0046580;GO:0046601;GO:0045742;GO:0043123;GO:1903438;GO:0045840;GO:1904781;GO:0045893;GO:0006606;GO:0060236;GO:0046578;GO:0009966;GO:0006405	GO:0007569;GO:0008219;GO:0007166;GO:0098534;GO:0007098;GO:0007100;GO:0007080;GO:0051028;GO:0043066;GO:0008285;GO:0042059;GO:0043407;GO:0043069;GO:0046580;GO:0046601;GO:0045742;GO:0043123;GO:1903438;GO:0045840;GO:1904781;GO:0045893;GO:0006606;GO:0060236;GO:0046578;GO:0009966;GO:0006405	GO:0005813;GO:0005737;GO:0090543;GO:0072686;GO:0005635;GO:0005637;GO:0031965;GO:0005640;GO:0005643;GO:0044613;GO:0005654;GO:1990904;GO:0000922	GO:0003682;GO:0030544;GO:0051879;GO:0005543;GO:0051425;GO:0042169;GO:0030159;GO:0017056;GO:0043130
O97039		RAX	Retinal homeobox protein Rax	DjRax	GO:0005634;GO:0003677;GO:0000981;GO:0006366	GO:0006366	GO:0005634	GO:0003677;GO:0000981
P0C8Q4;Q9SNA8	827735		Uncharacterized protein At4g19900	DjRax				
Q8IIG7;A0A143ZYR6	810754		Uncharacterized protein PF3D7_1120000	DjRax	GO:0005737;GO:0016020		GO:0005737;GO:0016020	
Q9H0A0;B4DFD5;E7ESU4;E9PMN9;Q86WK5;Q9C0F4;Q9HA61;Q9NVF2	55226	NAT10	RNA cytidine acetyltransferase	N-acetyltransferase-like protein	GO:0000781;GO:0016020;GO:0030496;GO:0005730;GO:0005654;GO:0005634;GO:0005697;GO:0005524;GO:0070182;GO:0106162;GO:0008080;GO:0003723;GO:1990883;GO:0000049;GO:0032211;GO:0045727;GO:0006473;GO:0010824;GO:1904812;GO:0000154;GO:0051391	GO:0032211;GO:0045727;GO:0006473;GO:0010824;GO:1904812;GO:0000154;GO:0051391	GO:0000781;GO:0016020;GO:0030496;GO:0005730;GO:0005654;GO:0005634;GO:0005697	GO:0005524;GO:0070182;GO:0106162;GO:0008080;GO:0003723;GO:1990883;GO:0000049
Q9Z0E1;Q3V2A0	110958	M1ap	Meiosis 1 arrest protein	Spermatogenesis-associated protein 37	GO:0005737;GO:0016021;GO:0042802;GO:0030154;GO:0031497;GO:0007292;GO:0051308;GO:0007127;GO:0006396;GO:0007283	GO:0030154;GO:0031497;GO:0007292;GO:0051308;GO:0007127;GO:0006396;GO:0007283	GO:0005737;GO:0016021	GO:0042802
Q9WTP3	30051	Spdef	SAM pointed domain-containing Ets transcription factor	Prostate-derived Ets factor	GO:0005634;GO:0000981;GO:0043565;GO:1990837;GO:0030154;GO:0060576;GO:0060480;GO:0010454;GO:0000122;GO:0043065;GO:0010455;GO:0045944;GO:0006357	GO:0030154;GO:0060576;GO:0060480;GO:0010454;GO:0000122;GO:0043065;GO:0010455;GO:0045944;GO:0006357	GO:0005634	GO:0000981;GO:0043565;GO:1990837
Q4R899	101926651	LMNTD1	Lamin tail domain-containing protein 1	Intermediate filament tail domain-containing protein 1	GO:0005882		GO:0005882	
Q03427;Q24374;Q9V729	36615	LamC	Lamin-C	pG-IF	GO:0005638;GO:0005635;GO:0005652;GO:0034399;GO:0070732;GO:0005200;GO:0006325;GO:0031507;GO:0007112;GO:0060415;GO:0051664;GO:0030833;GO:0035989	GO:0006325;GO:0031507;GO:0007112;GO:0060415;GO:0051664;GO:0030833;GO:0035989	GO:0005638;GO:0005635;GO:0005652;GO:0034399;GO:0070732	GO:0005200
A6H603;Q3TRC9;Q8BS99	319555	Nwd1	NACHT domain- and WD repeat-containing protein 1	pG-IF	GO:0005829;GO:0005730;GO:0005524;GO:0032088;GO:0010628	GO:0032088;GO:0010628	GO:0005829;GO:0005730	GO:0005524
Q9Z2K9		IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	Oxalosuccinate decarboxylase	GO:0005829;GO:0004450;GO:0000287;GO:0051287;GO:0006103;GO:0006097;GO:0006102;GO:0006099	GO:0006103;GO:0006097;GO:0006102;GO:0006099	GO:0005829	GO:0004450;GO:0000287;GO:0051287
P46063;A8K6G2	5965	RECQL	ATP-dependent DNA helicase Q1	RecQ protein-like 1	GO:0005694;GO:0005737;GO:0016020;GO:0005654;GO:0005634;GO:0043138;GO:0005524;GO:0016887;GO:0036310;GO:0003678;GO:1990814;GO:0009378;GO:0032508;GO:0006310;GO:0006281;GO:0006268;GO:0000724	GO:0032508;GO:0006310;GO:0006281;GO:0006268;GO:0000724	GO:0005694;GO:0005737;GO:0016020;GO:0005654;GO:0005634	GO:0043138;GO:0005524;GO:0016887;GO:0036310;GO:0003678;GO:1990814;GO:0009378
O14786;B0LPG9;O60461;Q5T7F1;Q5T7F2;Q5T7F3;Q86T59;Q96I90;Q96IH5	8829	NRP1	Neuropilin-1	CD304	GO:0030424;GO:0031410;GO:0005829;GO:0005769;GO:0005615;GO:0005925;GO:0098978;GO:0099055;GO:0031966;GO:0005883;GO:0043005;GO:0005886;GO:0043235;GO:0002116;GO:0097443;GO:0015026;GO:0019955;GO:0019838;GO:0005096;GO:0008201;GO:0046872;GO:0019901;GO:0017154;GO:0038085;GO:0005021;GO:0031532;GO:0001525;GO:0060978;GO:0009887;GO:0048844;GO:0048846;GO:0007411;GO:0007413;GO:0060385;GO:0150020;GO:0150018;GO:0001569;GO:0021785;GO:0002042;GO:0007267;GO:0035729;GO:0035924;GO:0071679;GO:0060982;GO:0060666;GO:1904835;GO:0035767;GO:0043542;GO:0097102;GO:0021612;GO:1903375;GO:0021828;GO:0048012;GO:0007229;GO:0097475;GO:0048843;GO:2001237;GO:0043524;GO:0021675;GO:1901166;GO:0001764;GO:0038189;GO:1905040;GO:0003148;GO:0048008;GO:0050918;GO:2000251;GO:0045766;GO:0048842;GO:0090050;GO:0060301;GO:0010595;GO:0001938;GO:0070374;GO:0051491;GO:0051894;GO:0050731;GO:0042327;GO:1902336;GO:0014911;GO:0051496;GO:1900026;GO:0099173;GO:1902946;GO:0032489;GO:0090259;GO:0060627;GO:0061441;GO:0061299;GO:0031290;GO:0071526;GO:1902287;GO:1902285;GO:0097374;GO:0007165;GO:0002040;GO:0034446;GO:0006930;GO:0061549;GO:0097490;GO:0097491;GO:1901998;GO:0061551;GO:0021637;GO:0048010;GO:0038190;GO:1902378;GO:0036486;GO:0021649;GO:0046718	GO:0031532;GO:0001525;GO:0060978;GO:0009887;GO:0048844;GO:0048846;GO:0007411;GO:0007413;GO:0060385;GO:0150020;GO:0150018;GO:0001569;GO:0021785;GO:0002042;GO:0007267;GO:0035729;GO:0035924;GO:0071679;GO:0060982;GO:0060666;GO:1904835;GO:0035767;GO:0043542;GO:0097102;GO:0021612;GO:1903375;GO:0021828;GO:0048012;GO:0007229;GO:0097475;GO:0048843;GO:2001237;GO:0043524;GO:0021675;GO:1901166;GO:0001764;GO:0038189;GO:1905040;GO:0003148;GO:0048008;GO:0050918;GO:2000251;GO:0045766;GO:0048842;GO:0090050;GO:0060301;GO:0010595;GO:0001938;GO:0070374;GO:0051491;GO:0051894;GO:0050731;GO:0042327;GO:1902336;GO:0014911;GO:0051496;GO:1900026;GO:0099173;GO:1902946;GO:0032489;GO:0090259;GO:0060627;GO:0061441;GO:0061299;GO:0031290;GO:0071526;GO:1902287;GO:1902285;GO:0097374;GO:0007165;GO:0002040;GO:0034446;GO:0006930;GO:0061549;GO:0097490;GO:0097491;GO:1901998;GO:0061551;GO:0021637;GO:0048010;GO:0038190;GO:1902378;GO:0036486;GO:0021649;GO:0046718	GO:0030424;GO:0031410;GO:0005829;GO:0005769;GO:0005615;GO:0005925;GO:0098978;GO:0099055;GO:0031966;GO:0005883;GO:0043005;GO:0005886;GO:0043235;GO:0002116;GO:0097443	GO:0015026;GO:0019955;GO:0019838;GO:0005096;GO:0008201;GO:0046872;GO:0019901;GO:0017154;GO:0038085;GO:0005021
Q8VDB9;Q3USE2	102680	Slc6a20a	Sodium- and chloride-dependent transporter XTRP3A	X transporter protein 3 similar 1	GO:0016324;GO:0005887;GO:0015171;GO:0015199;GO:0015193;GO:0015175;GO:0005298;GO:0089718;GO:0006865;GO:0015838;GO:0015816;GO:1904271;GO:1905647;GO:0035524;GO:0015824;GO:0035725	GO:0089718;GO:0006865;GO:0015838;GO:0015816;GO:1904271;GO:1905647;GO:0035524;GO:0015824;GO:0035725	GO:0016324;GO:0005887	GO:0015171;GO:0015199;GO:0015193;GO:0015175;GO:0005298
Q9H0I3;B2RAQ7;B4DR20;Q9NZX2	29070	CCDC113	Coiled-coil domain-containing protein 113	X transporter protein 3 similar 1	GO:0005930;GO:0034451;GO:0036064;GO:0032991;GO:0060271	GO:0060271	GO:0005930;GO:0034451;GO:0036064;GO:0032991	
Q16181;Q52M76;Q6NX50	989	SEPTIN7	Septin-7	CDC10 protein homolog	GO:0005930;GO:0032153;GO:0032154;GO:0005829;GO:0070062;GO:0000776;GO:0015630;GO:0030496;GO:0097730;GO:0005634;GO:0031105;GO:0005940;GO:0097227;GO:0005819;GO:0001725;GO:0045296;GO:0005525;GO:0003924;GO:0042802;GO:0060090;GO:0005198;GO:0030154;GO:0034613;GO:0060271;GO:0061640;GO:1902857;GO:0016476;GO:0007283	GO:0030154;GO:0034613;GO:0060271;GO:0061640;GO:1902857;GO:0016476;GO:0007283	GO:0005930;GO:0032153;GO:0032154;GO:0005829;GO:0070062;GO:0000776;GO:0015630;GO:0030496;GO:0097730;GO:0005634;GO:0031105;GO:0005940;GO:0097227;GO:0005819;GO:0001725	GO:0045296;GO:0005525;GO:0003924;GO:0042802;GO:0060090;GO:0005198
O75818;Q5VX97;Q8WVK8	10799	RPP40	Ribonuclease P protein subunit p40	RNase P subunit 1	GO:0030681;GO:0005655;GO:0005654;GO:0005634;GO:0000172;GO:0004526;GO:0033204;GO:0000447;GO:1905267;GO:0001682	GO:0000447;GO:1905267;GO:0001682	GO:0030681;GO:0005655;GO:0005654;GO:0005634;GO:0000172	GO:0004526;GO:0033204
Q15031	23395	LARS2	Leucine--tRNA ligase mitochondrial	Leucyl-tRNA synthetase	GO:0005759;GO:0005739;GO:0002161;GO:0005524;GO:0004823;GO:0006429;GO:0032543;GO:0006418	GO:0006429;GO:0032543;GO:0006418	GO:0005759;GO:0005739	GO:0002161;GO:0005524;GO:0004823
P54254;Q8C866	20238	Atxn1	Ataxin-1	Spinocerebellar ataxia type 1 protein homolog	GO:0005737;GO:0005829;GO:0042405;GO:0016363;GO:0005730;GO:0005654;GO:0005634;GO:0098794;GO:0032991;GO:0003682;GO:0003677;GO:0042802;GO:0034046;GO:0008266;GO:0008022;GO:0043621;GO:0003723;GO:0008344;GO:0048856;GO:0007420;GO:0060079;GO:0007612;GO:0048286;GO:0007613;GO:0043569;GO:0042326;GO:0000122;GO:0045892;GO:0007399;GO:0051168;GO:0060252;GO:0045944;GO:0006355;GO:0035176;GO:0008542	GO:0008344;GO:0048856;GO:0007420;GO:0060079;GO:0007612;GO:0048286;GO:0007613;GO:0043569;GO:0042326;GO:0000122;GO:0045892;GO:0007399;GO:0051168;GO:0060252;GO:0045944;GO:0006355;GO:0035176;GO:0008542	GO:0005737;GO:0005829;GO:0042405;GO:0016363;GO:0005730;GO:0005654;GO:0005634;GO:0098794;GO:0032991	GO:0003682;GO:0003677;GO:0042802;GO:0034046;GO:0008266;GO:0008022;GO:0043621;GO:0003723
Q5R4X4	100173891	SSR1	Translocon-associated protein subunit alpha	Signal sequence receptor subunit alpha	GO:0005789;GO:0016021		GO:0005789;GO:0016021	
